"cellid","center_x","center_y","slice_id","sample_id","class_label","subclass","label"
2.94649360474688e+38,3739.83815588534,1814.59146535287,"mouse1_slice91","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.94665377659387e+38,4353.77714844334,3082.63765952106,"mouse1_slice91","mouse1_sample2","Other","Endo","Endo"
2.94711841364453e+38,1233.0608239787,-3060.85016828703,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_6"
2.9471389313114e+38,-5267.54338723002,-4711.48318978638,"mouse1_slice62","mouse1_sample2","Other","PVM","PVM"
2.94720773149056e+38,-3218.0356335798,2391.16016289496,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 IT Car3","L6_IT_Car3"
2.94752353006117e+38,-5213.21936676252,-3220.95335344829,"mouse1_slice62","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.9476158137312e+38,3532.56972082974,3424.21360836428,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_1"
2.94788317014002e+38,4564.59982967225,2713.54604711107,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94809792515719e+38,461.633828007566,-1946.26873023726,"mouse1_slice71","mouse1_sample2","GABAergic","Pvalb","Pvalb_1"
2.94811864560672e+38,-4844.41157476429,-4632.00093430835,"mouse1_slice62","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_3"
2.94818572996819e+38,5542.93763791585,-4183.45532189123,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_1"
2.94827938127147e+38,-4446.0922470059,-4870.84675660158,"mouse1_slice62","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.94834849721593e+38,1536.45820057972,-3840.58372152598,"mouse1_slice71","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_2"
2.94838826844824e+38,-2930.48338911214,2060.09414342991,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_1"
2.94862710463776e+38,4458.02313618265,2267.40082969007,"mouse1_slice91","mouse1_sample2","GABAergic","Vip","Vip_1"
2.94864962418345e+38,5352.70907300605,-3581.64389735657,"mouse1_slice81","mouse1_sample2","GABAergic","Pvalb","Pvalb_5"
2.94870429855634e+38,-2506.65398522409,2567.90145722869,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_1"
2.94878186520158e+38,-5124.32144414648,-3995.90782338191,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_2"
2.94880315883505e+38,1197.35769242678,-2241.71511262997,"mouse1_slice71","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_2"
2.94889563621132e+38,4075.78257897236,3189.57351066518,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_1"
2.94901334057041e+38,-5473.84685124628,-4099.51662465952,"mouse1_slice62","mouse1_sample2","Other","Micro","Micro_1"
2.94908336012227e+38,5113.2415330057,3108.89922635161,"mouse1_slice91","mouse1_sample2","Other","Endo","Endo"
2.94941691374361e+38,838.917107975489,-1779.10397609401,"mouse1_slice71","mouse1_sample2","GABAergic","Sst","Sst_4"
2.94941939421826e+38,426.576200970093,-1765.47950992561,"mouse1_slice71","mouse1_sample2","Other","Peri","Peri"
2.94950616559444e+38,-5170.4116291598,-2698.26046642346,"mouse1_slice62","mouse1_sample2","Other","VLMC","VLMC"
2.94978457162589e+38,4802.45440478438,-3716.54759579517,"mouse1_slice81","mouse1_sample2","Other","Oligo","Oligo_1"
2.94985625611004e+38,4662.22546997916,-3666.53150984615,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94986393429164e+38,-3493.19951823055,2128.10250064143,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_3"
2.95010196312675e+38,3514.76782313198,2686.04087181414,"mouse1_slice91","mouse1_sample2","Glutamatergic","L5/6 NP","L56_NP_2"
2.95019216174406e+38,4801.0040070389,-3074.81149908419,"mouse1_slice81","mouse1_sample2","Other","Endo","Endo"
2.95043799679173e+38,-2276.36460663592,1835.40046496234,"mouse1_slice102","mouse1_sample2","Other","OPC","OPC"
